Account UUID,Billing Account Name,Sf Net Desk Change,Looker Net Desk Change,Sf Looker Difference,Sf Looker Absolute Difference
063d5b70-4ced-0135-8d13-0242ac113a10,더 니즈앤씨즈 커뮤니케이션 랩,1.0,6.0,-5.0,5.0
39f32a90-9ba1-0134-81b8-628f3d1619b0,Drawbridge,-1.0,0.0,-1.0,1.0
fd6c1159-7329-46d3-8b66-50dfb8c1312f,Qualrisk,3.0,1.0,2.0,2.0
33d0cba0-82bc-0136-6eba-0242ac117209,Successful Parenting DC,1.0,2.0,-1.0,1.0
c74fa977-ff11-45f3-b68d-86d983cf9e52,,1.0,0.0,1.0,1.0
4447814e-40d6-4fab-9872-e6e20f0c278f,Amtelon Capital B.V.,-1.0,0.0,-1.0,1.0
8bc974c0-ebe4-49a0-a1e4-344b6296363e,HyperTrack,0.0,2.0,-2.0,2.0
4987abf0-888b-0136-0c70-0242ac111c0f,Miguel Ángel Diez,1.0,2.0,-1.0,1.0
408bf3d0-2c00-0136-2694-0242ac111c0c,트레블웨폰,-1.0,0.0,-1.0,1.0
16c3221d-5334-4e34-85bd-070d05fdb112,,1.0,0.0,1.0,1.0
6a06c0a6-5c58-4042-8050-b02200413e76,"Pinger, Inc.",-3.0,0.0,-3.0,3.0
47a2c990-f614-0134-7721-0242ac11090a,,1.0,0.0,1.0,1.0
40286fc0-8e92-0136-09c0-0242ac115706,Gotel ltda.,2.0,4.0,-2.0,2.0
25cc3852-2b58-495a-b03c-2f17b123c71c,"view glass, inc",-1.0,2.0,-3.0,3.0
304babf0-4d3d-0136-d5f1-0242ac111c08,Andrea Franz,0.0,1.0,-1.0,1.0
800e9feb-c801-430f-8281-bc10fbe02bc4,HubSpot,-2.0,0.0,-2.0,2.0
13bd0e4e-f49b-4edd-8b2d-01151d5332e9,Tanner Laverty,-1.0,0.0,-1.0,1.0
7ef4de30-ab4c-0135-7e2a-0242ac111510,"Crassone co., ltd.",-1.0,0.0,-1.0,1.0
1196b583-5eab-457a-acfd-587720902e28,Tidal,0.0,3.0,-3.0,3.0
7dd31fe3-4c51-4865-b1bf-06884ff09f37,Everis,3.0,6.0,-3.0,3.0
33e1e3e1-725e-42c1-a1b2-003d48425e12,Dealer Inspire,-4.0,0.0,-4.0,4.0
b20260e9-0c92-4ba1-9b80-e5c34d2a17cf,DoubleVerify Inc.,17.0,7.0,10.0,10.0
ab55ff81-60f9-462f-a341-cf581bcc33c9,Celer Technologies,14.0,0.0,14.0,14.0
13d17bab-9ce2-420a-90e9-073848ba2d2e,Point72,8.0,6.0,2.0,2.0
7f5ddd41-0498-4501-896e-75d5dc0be266,Selex/Talent Wise,-2.0,0.0,-2.0,2.0
26972933-34bf-4ddf-9d0e-3ed58fb78a01,Spread /AKA Genova,-1.0,0.0,-1.0,1.0
76c315ee-7183-4c57-b87d-e5c3ec536a17,Movi Workspace,-1.0,0.0,-1.0,1.0
7446d3ef-34b3-4ec3-bd72-b00eb7131fd5,Neudesic,-7.0,0.0,-7.0,7.0
2b5e9470-62f8-0134-0416-2209c4d2a889,Vera Solutions,-1.0,0.0,-1.0,1.0
0bb9f5be-dd28-4ffb-b406-76f204f5a49a,,1.0,0.0,1.0,1.0
8bdf2bb0-2d4f-4d30-9114-108165ccc83d,Vainu.io,0.0,2.0,-2.0,2.0
5a83f9cd-6190-4dda-8d2c-3d41b258eda4,Impendi Analytics LLC,1.0,0.0,1.0,1.0
8c30a410-f53d-0135-26fa-0242ac116708,security innovation,10.0,1.0,9.0,9.0
cf46e305-d957-4d28-9f71-e65c2ac27951,Ideatomic,0.0,1.0,-1.0,1.0
cc09a490-6019-0131-38e7-16a5e072a8dd,Fort Point Legal,-3.0,0.0,-3.0,3.0
72703c62-0ac1-437b-8c64-07a3f69b0898,Zumper,-3.0,0.0,-3.0,3.0
9a7aa7f0-d9f4-0134-03c4-0242ac112c07,Cloud Conformity Inc,4.0,0.0,4.0,4.0
9f4673f9-89bf-4e92-8c66-6d616386ee25,IBM Design Studio,72.0,0.0,72.0,72.0
e0cce430-7ef2-480e-b778-d7eb47b100bc,Dual Gestão de Risco,-3.0,0.0,-3.0,3.0
96de01f6-4dc1-4037-9b8f-56db08754c2c,Hungry Peter SpA,0.0,1.0,-1.0,1.0
90521780-230e-46ef-b606-0e98836aff29,Arbentia Consulting México,-8.0,0.0,-8.0,8.0
a4d03250-21d2-0135-98fe-0242ac113d09,메저차이나(주),-4.0,0.0,-4.0,4.0
9f99dbd0-a4b2-0135-8105-0242ac116705,(주) 프레시코드,2.0,6.0,-4.0,4.0
2fdd3e10-87c0-0136-0b2d-0242ac111c0f,Distribuidora Distrimax,0.0,2.0,-2.0,2.0
f24b0030-e8a6-0135-9ef2-0242ac11570b,360 Activa,-3.0,0.0,-3.0,3.0
3ec788a0-e75d-0135-3109-0242ac11210d,De Well Container Shipping Inc.,-2.0,0.0,-2.0,2.0
1fb32c1b-546d-4516-931a-d8fbd179039f,Niner,3.0,0.0,3.0,3.0
40492c09-44e6-461d-8e68-7cb6c3b92087,Earthstaff Gmbh,-5.0,26.0,-31.0,31.0
7a7ba331-e68e-483c-b482-7a171b85ce28,Vision Event Co.,-3.0,0.0,-3.0,3.0
703187ca-c62d-4457-8b66-55de5c0c1744,Epa Digital,-3.0,0.0,-3.0,3.0
1981e75e-3ac4-43d2-910d-d7de32d29d89,Urbanista,-3.0,0.0,-3.0,3.0
4d50eecd-2413-4c91-8fb9-b349dbb2955a,,1.0,0.0,1.0,1.0
24774c22-8e4c-42a4-8cad-df525be440d9,Embue,-1.0,0.0,-1.0,1.0
020ad370-42e5-0135-065b-0242ac112609,Remix,-3.0,0.0,-3.0,3.0
bac1f783-c156-42bd-83c5-63e1d497bf38,Reverse Mortgage Inv Trust,-1.0,0.0,-1.0,1.0
7534f431-ead1-4f2c-a2ed-e3bc5ff7e655,LabCo NYC,6.0,0.0,6.0,6.0
b46023ed-c9e8-4ef9-8497-c662b40d991e,6ya,0.0,2.0,-2.0,2.0
9e30e426-cb97-4ce6-a70c-34e5cba487ac,Griffith Blythe Interiors,-2.0,0.0,-2.0,2.0
37653e63-8b88-41d7-bfc9-083b38dd874c,Go Fish Digital,-4.0,0.0,-4.0,4.0
5b5acb50-2dfd-4cef-9c72-72e5c194b714,RevCascade,1.0,2.0,-1.0,1.0
19909a51-01e7-4b33-ae18-884930edc819,Momentum,-1.0,0.0,-1.0,1.0
94c76180-8c58-0136-048e-0242ac115706,iensureinsurance,0.0,1.0,-1.0,1.0
48286b80-0875-4687-abaf-2573cf88f788,PayPay株式会社,22.0,203.0,-181.0,181.0
44d01e07-7173-480e-8969-53e40fb6e936,Basket Inc,-2.0,0.0,-2.0,2.0
f1cbd340-878c-0136-91e0-0242ac11720c,LEV5 Investments,1.0,2.0,-1.0,1.0
d7c4a2e0-0d87-0135-3857-0242ac110907,COOK FOR YOUR LIFE,-2.0,0.0,-2.0,2.0
7b48917d-42a7-479b-b152-2f75d25fe884,Zebra Medical Vision,-1.0,0.0,-1.0,1.0
101ae020-0ccd-0135-1042-0242ac11350a,DreamGo,-7.0,0.0,-7.0,7.0
67de3174-9dd1-4f25-875c-7d20a9c4562b,融毓企业咨询管理（上海）有限公司,-1.0,0.0,-1.0,1.0
dda76080-ddaa-0134-024b-0242ac11350c,Growth Destiny LLC,6.0,16.0,-10.0,10.0
6c450a80-9503-0135-f9f1-0242ac116706,AudienceX,0.0,2.0,-2.0,2.0
0b1d8456-1e82-48f2-87a0-273285eb8d87,OnePlace Pte Ltd,4.0,6.0,-2.0,2.0
c759e4ee-d36c-40d1-bc4d-231e82ff8550,inTeam,0.0,4.0,-4.0,4.0
fdb4dd53-a39a-482c-b8d8-91c66a2cb571,UnternehmerTUM GmbH,0.0,12.0,-12.0,12.0
145b71e0-67b2-0136-f73b-0242ac11210d,ExperienceRx,1.0,2.0,-1.0,1.0
230c3290-2867-0135-e900-0242ac113d07,Rand Group,-16.0,0.0,-16.0,16.0
