,id,uuid,created_at,updated_at,started_on,ended_on,office_num,reservable_id,reservable_type,account_id,reservable_uuid,account_uuid,move_in_type,move_out_type,type,location_id,parent_id,one_time,quantity,archived_at,canceled_at,ended_on_updated_at,move_out_reason,prepaid_duration,prepaid_action,prepaid_ended_on,prepaid_invoice_id,prepaid_payment_id,entity_published_at,notes,gave_notice,start_event_published_at,foreign_reference_id,escalation_date,annual_escalator_rate,_fivetran_synced,description,price
5114,600873853,2993e16c-f453-4ecd-84de-4a7470fa7da2,2018-04-03 22:25:10.762,2018-04-03 22:25:10.762,2018-05-01,2018-05-31,,14,Resource,61616,fbbfc870-8e96-0130-e5b8-160ad023c11e,31343731-3632-4353-a938-393037373134,,,DiscountReservation,16,,False,1.00,,,2018-04-03 22:25:10.750,,,,,,,2018-04-03 22:25:10.762,,,,,,,2018-06-15 23:13:43.096,,-133.00
5115,600872627,b3d95297-1aae-42eb-b045-2ff646d2686f,2018-04-03 16:40:38.134,2018-04-03 16:40:38.134,2018-04-03,,,51,Resource,141868,82e675f0-3864-0132-4656-38e85631d6e6,34e04c70-1907-0136-0f89-0242ac115709,,,AnywhereReservation,75,,False,1.00,,,,,,,,,,2018-04-03 16:40:38.134,,,,,,,2018-06-15 23:13:43.029,,50.00
5116,600870129,7a7c247b-9a00-430d-8748-32b2a417c7d4,2018-04-02 23:07:12.996,2018-04-02 23:07:12.996,2022-09-01,2022-09-30,,14,Resource,119848,fbbfc870-8e96-0130-e5b8-160ad023c11e,29d4c70a-5a75-4bc2-86f1-d3feb6d62f93,,,DiscountReservation,137,,False,1.00,,,2018-04-02 23:07:12.984,,,,,,,2018-04-02 23:07:12.996,,,,,,,2018-06-15 23:13:42.902,,-5177.00
5117,600866632,b0a5955c-b4f2-4028-af9d-8c8202170cb3,2018-04-01 19:51:07.673,2018-04-01 19:51:07.673,2018-04-01,2018-04-01,,111,Resource,141309,39cf7a9b-9cf3-4d63-8f97-4be80a51a976,ef7b0730-1813-0136-b1af-0242ac112111,,,TransientReservation,145,600866630.0,True,1.00,,,2018-04-01 19:51:07.658,,,,,,,2018-04-01 19:51:07.673,,,,,,,2018-06-15 23:13:42.728,,-28.00
5118,600872337,e97cdc5c-e734-4843-9a12-634204aad2e9,2018-04-03 15:39:41.747,2018-04-03 15:39:41.747,2018-04-01,,,8243,Desk,134311,ad9e7a05-9ce8-404f-be0d-f08361fe38e1,2a70f59a-bb1c-423f-97f2-a70d6232e3ec,Move In,,PrimaryReservation,45,,False,1.00,,,,,,,,,,2018-04-03 15:39:41.747,,,2018-04-03 15:40:36.097,,2019-04-01,0.03,2018-06-15 23:13:43.012,DD37,490.00
5119,600873557,b9b12318-22ba-49d6-ae5a-f6e13ab56ecb,2018-04-03 20:53:16.596,2018-04-03 20:53:16.596,2019-03-01,2019-03-31,,14,Resource,43820,fbbfc870-8e96-0130-e5b8-160ad023c11e,8fbedc72-3852-43f4-b241-0b3f66d630e7,,,DiscountReservation,291,600873518.0,False,1.00,,,2018-04-03 20:53:16.585,,,,,,,2018-04-03 20:53:16.596,,,,,,,2018-06-15 23:13:43.080,,-306.00
5120,600873269,602f216d-3a61-40cd-8de7-cdb58e1fea7e,2018-04-03 19:29:14.565,2018-04-03 19:29:14.565,2018-04-09,2018-04-09,,16,Resource,141918,fbc78740-8e96-0130-e5b8-160ad023c11e,cc62e8c1-70f8-445b-b043-379d52b06f16,,,Reservation,218,600873267.0,True,1.00,,,2018-04-03 19:29:14.557,,,,,,,,,,,,,,2018-06-15 23:13:43.063,,150000.00
5121,600868966,4eba9bfa-db08-42f4-9b82-8805f358f7ae,2018-04-02 19:02:48.537,2018-04-02 19:02:48.537,2018-04-02,2018-04-02,,49,Resource,102290,e3e99c90-315b-0132-b9b6-0c4de9a9d1cb,81fc7487-78d0-47df-9151-5f6fd256b520,,,AnywhereReservation,96,,True,1.00,,,2018-04-02 19:02:48.529,,,,,,,2018-04-02 19:02:48.537,,,,,,,2018-06-15 23:13:42.835,,25.00
5122,600866294,ec060aa4-d25b-4d94-b7e4-646fe5caf99a,2018-04-01 04:34:21.895,2018-04-01 04:34:26.223,2018-05-01,2018-05-01,,15,Resource,120970,fbc34350-8e96-0130-e5b8-160ad023c11e,1fbf09c0-d2d0-0135-f795-0242ac114a09,,,Reservation,21,600579695.0,True,,,,2018-04-01 04:34:21.850,,,,,,,,,,,,,,2018-06-15 23:13:42.711,,-11550.00
5123,600871734,e98ed4f1-fbc4-49f4-b62b-c85e4e2c7d7f,2018-04-03 13:51:10.741,2018-04-03 13:51:10.741,2018-04-03,2018-04-03,,20,Resource,106368,fbd93ac0-8e96-0130-e5b8-160ad023c11e,792295f0-956f-0135-5002-0242ac116709,,,Reservation,137,,True,1.00,,,2018-04-03 13:51:10.690,,,,,,,,,,,,,,2018-06-15 23:13:42.973,,300.00
5124,600866667,00632285-d15f-49ca-ba63-d52bcb9883ae,2018-04-01 21:01:20.801,2018-05-22 16:11:23.958,2018-07-01,,,600021012,Space,11202,44b9c7be-7101-4d31-a607-06f27dd20760,259db3ff-7ec5-4326-b2fb-333878874581,Move In,,PrimaryReservation,304,,False,1.00,,2018-05-22 16:11:23.938000,,,,,,,,2018-05-22 16:11:23.958,,,2018-07-01 00:05:37.826,,2019-07-01,0.03,2018-07-01 00:40:02.589,07-101,7850.00
5125,600866902,05885bf9-5727-4e10-85e4-b611c59d12d7,2018-04-02 04:35:34.396,2018-05-05 00:01:50.356,2018-04-02,2018-05-31,,600009389,Desk,134310,762dbae4-65e9-4052-858b-43e269af2332,f92a7856-d6b4-449c-aa02-df16683fcdc3,External Transfer,Move Out,PrimaryReservation,285,,False,1.00,,,2018-05-05 00:01:50.340,,,,,,,2018-05-05 00:01:50.356,,2018-05-05 00:01:50.242000,2018-04-02 04:35:36.975,,,,2018-06-15 23:08:28.762,HD105,350000.00
5126,600867323,f8cf8d7a-da6a-4e31-b013-4df0e3ed7ac3,2018-04-02 10:22:54.334,2018-04-04 10:56:40.102,2018-04-02,2018-04-02,,15,Resource,140988,fbc34350-8e96-0130-e5b8-160ad023c11e,dc846b05-cde3-41cc-8236-a32b5b1771f0,,,Reservation,107,600861058.0,True,1.00,,,2018-04-02 10:22:54.326,,,,,,,,,,,,,,2018-06-15 23:08:28.778,,2000.00
5127,600870932,89c29fb8-9454-4415-a549-10d4c59631c2,2018-04-03 08:00:15.715,2018-04-03 08:00:17.023,2018-04-01,2018-04-01,,15,Resource,127920,fbc34350-8e96-0130-e5b8-160ad023c11e,61e5b760-e3cf-0135-97b3-0242ac11570b,,,Reservation,272,600675284.0,True,,,,2018-04-03 08:00:15.705,,,,,,,,,,,,,,2018-06-15 23:08:28.794,,-302000.00
5128,600871388,f7f25e5d-d832-42fd-8a24-0a0281053f9f,2018-04-03 11:14:05.051,2018-04-03 11:14:05.051,2018-04-03,2018-04-03,,20,Resource,91239,fbd93ac0-8e96-0130-e5b8-160ad023c11e,621bf1dc-edb0-41a2-818a-43f54bd3fb22,,,Reservation,72,,True,1.00,,,2018-04-03 11:14:05.026,,,,,,,,,,,,,,2018-06-15 23:13:42.951,,25.00
5129,600868638,d9bba785-66c4-4223-b015-a07d84a1fd03,2018-04-02 17:27:22.956,2018-04-02 17:27:22.956,2018-04-02,2018-04-02,,20,Resource,81147,fbd93ac0-8e96-0130-e5b8-160ad023c11e,3b077c20-0db6-0135-3764-0242ac11350b,,,Reservation,80,,True,1.00,,,2018-04-02 17:27:22.932,,,,,,,,,,,,,,2018-06-15 23:13:42.817,,25.00
5130,600869811,04cae618-c80f-454b-b973-5ffea6faacfb,2018-04-02 22:18:32.077,2018-04-02 22:18:32.077,2018-04-04,2018-04-04,,24,Resource,114320,fbe60610-8e96-0130-e5b8-160ad023c11e,fadb49b0-b6bf-0135-f263-0242ac115606,,,DiscountReservation,22,,True,1.00,,,2018-04-02 22:18:32.068,,,,,,,2018-04-02 22:18:32.077,,,,,,,2018-06-15 23:13:42.883,,-492.00
5131,600869227,75cafb23-9348-4654-a5d4-c2e7569ec607,2018-04-02 19:54:24.291,2018-05-09 17:47:25.885,2018-05-01,2018-05-31,,600010413,Desk,141601,ae4829e4-d4d7-46a3-af94-3d35a0b2a677,1bed0a56-3835-422f-8688-6575f127870e,Move In,Internal Transfer,PrimaryReservation,201,,False,1.00,,,2018-05-09 17:47:25.876,,,,,,,2018-05-09 17:47:25.885,,2018-05-09 17:47:25.806000,2018-05-01 00:09:35.874,,2019-05-01,,2018-06-15 23:13:42.850,11-108R,900.00
5132,600872600,ee34a77c-efb7-4575-991e-373f694c1a21,2018-04-03 16:35:26.577,2018-04-03 16:37:59.776,2018-04-03,2018-04-03,,81,Resource,138739,ec270444-1ab1-42b2-8def-69c612655e01,0fe03ff4-2431-4b24-bf17-0c5033baaf2c,,,Reservation,100,600823880.0,True,,,2018-04-03 16:37:59.751000,2018-04-03 16:35:26.567,,,,,,,,,,,,,,2018-06-15 23:13:43.028,,450.00
5133,600867712,bbd87907-ed03-4e8c-8e7b-7b816eb681fb,2018-04-02 14:23:45.451,2018-06-08 17:01:02.898,2018-04-02,2018-06-30,,13,Resource,140362,fbbbe020-8e96-0130-e5b8-160ad023c11e,e65d3055-4613-4eb4-9e25-5d2768e203cf,,,Reservation,6,,False,1.00,,,2018-06-08 17:01:02.858,,,,,,,,,,,,,,2018-06-15 23:13:42.760,,100.00
5134,600870102,d71a7e38-710f-45f8-b625-98d1d495090f,2018-04-02 23:07:10.264,2018-04-02 23:07:10.264,2020-06-01,2020-06-30,,14,Resource,119848,fbbfc870-8e96-0130-e5b8-160ad023c11e,29d4c70a-5a75-4bc2-86f1-d3feb6d62f93,,,DiscountReservation,137,,False,1.00,,,2018-04-02 23:07:10.253,,,,,,,2018-04-02 23:07:10.264,,,,,,,2018-06-15 23:13:42.900,,-5177.00
5135,600867386,1b9e627c-e2d0-4657-8cfb-6341b8be5306,2018-04-02 11:29:05.231,2018-04-02 11:29:05.231,2018-07-01,2018-07-31,,14,Resource,114113,fbbfc870-8e96-0130-e5b8-160ad023c11e,62ca0336-42da-4284-852d-2443ae3b0874,,,DiscountReservation,187,,False,1.00,,,2018-04-02 11:29:05.219,,,,,,,2018-04-02 11:29:05.231,,,,,,,2018-06-15 23:13:42.744,,-1118.00
5136,600870937,348268e6-98c6-47da-b9f7-f7b51d4d0d57,2018-04-03 08:01:32.435,2018-04-03 08:01:32.435,2018-04-03,2018-04-03,,50,Resource,132353,f19020e0-3864-0132-4658-38e85631d6e6,5af95d7e-2cf0-43a5-84c0-de7bba634d66,,,AnywhereReservation,243,,True,1.00,,,2018-04-03 08:01:32.427,,,,,,,2018-04-03 08:01:32.435,,,,,,,2018-06-15 23:13:42.934,,20.00
5137,600872946,687be62b-7d15-4321-b7be-abcd58b50ee6,2018-04-03 18:05:16.907,2018-04-05 22:55:19.298,2018-04-03,2018-04-03,,81,Resource,137975,ec270444-1ab1-42b2-8def-69c612655e01,880f43b0-0b65-0136-8931-0242ac115606,,,Reservation,48,600812184.0,True,,,2018-04-05 22:55:19.270000,2018-04-03 18:05:16.899,,,,,,,,,,,,,,2018-06-15 23:13:43.044,,950.00
5138,600866605,3e675275-8bd0-4fe4-be3b-6035f6a76dfb,2018-04-01 17:58:33.552,2018-04-01 17:58:33.552,2018-05-01,2018-05-31,,42,Resource,116020,bc921830-09d7-0132-ea24-360f514fdfc5,f3ef39f0-7a80-0135-60fb-0242ac112c08,,,AnywhereReservation,75,,False,1.00,,,2018-04-01 17:58:33.540,,,,,,,2018-04-01 17:58:33.552,,,,,,,2018-06-15 23:13:42.727,,-45.00
5139,600873826,8d9b70bc-f915-47a2-a45a-b67eb10e68fa,2018-04-03 22:12:33.947,2018-05-01 19:34:25.454,2018-04-03,2018-05-31,,51,Resource,141972,82e675f0-3864-0132-4656-38e85631d6e6,f29eafff-80bb-4c74-b39e-2c6a67af7294,,,AnywhereReservation,54,,False,1.00,,,2018-05-01 19:34:25.434,,,,,,,2018-05-01 19:34:25.454,,,,,,,2018-06-15 23:13:43.095,,50.00
5140,600868308,6a600a35-74b7-4d85-822a-d03f20ab86c1,2018-04-02 16:30:11.340,2018-04-02 16:30:11.340,2019-02-01,2019-02-28,,14,Resource,141499,fbbfc870-8e96-0130-e5b8-160ad023c11e,52403266-1da9-4b5e-92d7-df887efdf8a0,,,DiscountReservation,289,,False,1.00,,,2018-04-02 16:30:11.328,,,,,,,2018-04-02 16:30:11.340,,,,,,,2018-06-15 23:13:42.794,,-680.00
5141,600873242,5b5ce48b-af49-4d2e-aff7-9c1595889aac,2018-04-03 19:24:20.969,2018-04-03 19:24:21.612,2018-06-01,2018-06-01,,15,Resource,94108,fbc34350-8e96-0130-e5b8-160ad023c11e,04c156e0-4679-0135-4dab-0242ac11130b,,,Reservation,139,600245386.0,True,,,,2018-04-03 19:24:20.950,,,,,,,,,,,,,,2018-06-15 23:13:43.061,,-1900.00
5142,600868015,e58de21a-0f4d-4ebe-aedc-50d68da55c46,2018-04-02 15:44:02.543,2018-04-02 15:44:46.410,2018-04-02,2018-04-02,,81,Resource,98334,ec270444-1ab1-42b2-8def-69c612655e01,e07f82b0-7554-0135-641e-0242ac112c0e,,,Reservation,169,600295436.0,True,,,2018-04-02 15:44:46.387000,2018-04-02 15:44:02.532,,,,,,,,,,,,,,2018-06-15 23:13:42.777,,2650.00
5143,600872022,64ab2672-625d-4553-a684-87e5cd92b9ee,2018-04-03 14:58:33.056,2018-04-03 14:58:33.637,2018-06-01,2018-06-01,,15,Resource,61163,fbc34350-8e96-0130-e5b8-160ad023c11e,2e6fb530-a609-0134-e389-76f04d12fead,,,Reservation,14,810543.0,True,,,,2018-04-03 14:58:33.048,,,,,,,,,,,,,,2018-06-15 23:13:42.994,,-4500.00
5144,600873530,a00d1a6c-dbca-4894-9197-6e9bf1740a3c,2018-04-03 20:53:13.023,2018-04-03 20:53:13.023,2019-04-01,2019-04-30,,14,Resource,43820,fbbfc870-8e96-0130-e5b8-160ad023c11e,8fbedc72-3852-43f4-b241-0b3f66d630e7,,,DiscountReservation,291,600873518.0,False,1.00,,,2018-04-03 20:53:13.014,,,,,,,2018-04-03 20:53:13.023,,,,,,,2018-06-15 23:13:43.078,,-409.00
5145,600866261,199f4c26-5991-4eb9-8b80-96ba46c80e3c,2018-04-01 04:34:02.941,2018-04-01 04:34:06.648,2018-05-01,2018-05-01,,15,Resource,94661,fbc34350-8e96-0130-e5b8-160ad023c11e,a11dffc0-64f6-0135-d2dd-0242ac112c08,,,Reservation,168,600252343.0,True,,,,2018-04-01 04:34:02.882,,,,,,,,,,,,,,2018-06-15 23:13:42.710,,-525.00
5146,600871703,218aeece-1d56-49b5-9bf7-22d807780c89,2018-04-03 13:42:03.674,2018-04-03 13:42:03.674,2018-09-01,2018-09-30,,14,Resource,46862,fbbfc870-8e96-0130-e5b8-160ad023c11e,1814d332-fba0-4db3-b006-443c7e2ec9dc,,,DiscountReservation,243,600871698.0,False,1.00,,,2018-04-03 13:42:03.664,,,,,,,2018-04-03 13:42:03.674,,,,,,,2018-06-15 23:13:42.971,,-700.00
5147,600870412,591c95fb-be8e-4a1b-86ab-43456251f490,2018-04-03 00:49:28.388,2018-04-03 00:49:28.388,2018-11-01,2018-11-30,,14,Resource,62495,fbbfc870-8e96-0130-e5b8-160ad023c11e,5475a600-b049-0134-f244-0242ac11350b,,,DiscountReservation,81,,False,1.00,,,2018-04-03 00:49:28.375,,,,,,,2018-04-03 00:49:28.388,,,,,,,2018-06-15 23:13:42.917,,-87.00
5148,600872310,06ebe08c-6494-415e-b4cc-ea7210c9c39c,2018-04-03 15:36:28.923,2018-04-03 15:36:28.923,2018-03-01,2018-03-31,,86,Resource,107871,10dc543b-8031-42f0-9c56-e240cc2d4aae,8198b64d-c100-4dbe-9838-37cbff27d313,,,Reservation,66,600408514.0,False,1.00,,,2018-04-03 15:36:28.841,,,,,,,,,,,,,,2018-06-15 23:13:43.011,,-6162.50
5149,600868939,64998811-e7ee-4bd9-b031-1667ff58596e,2018-04-02 18:52:50.811,2018-04-02 18:52:50.811,2018-12-01,2018-12-31,,14,Resource,19982,fbbfc870-8e96-0130-e5b8-160ad023c11e,1635a370-7bc1-4bc5-acd4-84aa3753cf8e,,,DiscountReservation,44,,False,1.00,,,2018-04-02 18:52:50.799,,,,,,,2018-04-02 18:52:50.811,,,,,,,2018-06-15 23:13:42.834,,-630.00
5150,600867286,acf3e1fd-262a-4cd7-8b96-f86796afdcd4,2018-04-02 09:52:16.247,2018-05-21 08:53:13.092,2019-04-01,2019-04-01,,15,Resource,138498,fbc34350-8e96-0130-e5b8-160ad023c11e,3a60d8c8-8888-44bf-8c8b-8bb9debc08f0,,,Reservation,154,600819554.0,True,,2018-05-21 08:53:13.065000,,2018-04-02 09:52:16.233,,,,,,,,,,,,,,2018-06-15 23:08:28.777,,-7200.00
5151,600870837,82c41afa-bdb9-4d2d-a899-21e89278d182,2018-04-03 07:16:39.297,2018-04-05 06:09:30.102,2018-04-30,2018-04-30,,20,Resource,114960,fbd93ac0-8e96-0130-e5b8-160ad023c11e,938ec83b-0fe3-4091-93ff-161dcb5f27b3,,,Reservation,121,600870836.0,True,-1.00,2018-04-05 06:09:30.064000,,2018-04-03 07:16:39.280,,,,,,,,,,,,,,2018-06-15 23:08:28.793,,25000.00
5152,600866890,b296a9be-7aa6-415b-a484-85d462dc347c,2018-04-02 04:23:43.041,2018-04-02 04:23:43.041,2018-04-05,2018-04-05,,16,Resource,141358,fbc78740-8e96-0130-e5b8-160ad023c11e,aaaeb6f0-15fc-0136-af44-0242ac112111,,,Reservation,239,600866888.0,True,1.00,,,2018-04-02 04:23:43.032,,,,,,,,,,,,,,2018-06-15 23:08:28.761,,100000.00
5153,600867158,6edb1c27-c1dd-4eb3-abb9-cb6ca251286d,2018-04-02 08:50:12.968,2018-06-29 07:27:41.698,2018-08-01,2018-08-31,,14,Resource,140984,fbbfc870-8e96-0130-e5b8-160ad023c11e,ed496028-2131-4445-be57-56f3735b4853,,,DiscountReservation,188,600867153.0,False,1.00,,2018-06-29 07:27:41.674000,2018-04-02 08:50:12.959,,,,,,,2018-06-29 07:27:41.698,,,,,,,2018-06-29 08:15:05.815,,-3640.00
5154,600872588,3e6d311f-071d-4509-b8ed-56b8efd61bea,2018-04-03 16:32:22.820,2018-04-03 16:32:22.820,2018-04-03,2018-04-03,,49,Resource,130937,e3e99c90-315b-0132-b9b6-0c4de9a9d1cb,e2e5bc6b-8cbd-48c8-be51-137e5f803a97,,,AnywhereReservation,75,,True,11.50,,,2018-04-03 16:32:22.813,,,,,,,2018-04-03 16:32:22.820,,,,,,,2018-06-15 23:13:43.027,,25.00
5155,600870919,b1bf1da4-6377-4676-997c-e77e5d10ae41,2018-04-03 07:56:44.757,2018-04-03 07:56:44.757,2018-04-30,2018-04-30,,20,Resource,67729,fbd93ac0-8e96-0130-e5b8-160ad023c11e,9d854d00-d659-0134-b72e-0242ac11350b,,,Reservation,47,600870918.0,True,-1.00,,,2018-04-03 07:56:44.742,,,,,,,,,,,,,,2018-06-15 23:13:42.933,,25.00
5156,600870400,a358b631-3582-4471-807a-9659bfb97a69,2018-04-03 00:49:26.987,2018-04-03 00:49:26.987,2019-01-01,2019-01-31,,14,Resource,62495,fbbfc870-8e96-0130-e5b8-160ad023c11e,5475a600-b049-0134-f244-0242ac11350b,,,DiscountReservation,81,,False,1.00,,,2018-04-03 00:49:26.975,,,,,,,2018-04-03 00:49:26.987,,,,,,,2018-06-15 23:13:42.917,,-165.00
5157,600867357,a1eaa69d-4941-421a-9a46-2a4e139f8c9e,2018-04-02 10:41:05.469,2018-04-02 10:41:05.469,2019-02-01,2019-02-28,,14,Resource,141389,fbbfc870-8e96-0130-e5b8-160ad023c11e,b0b47f08-14f9-4419-ac46-18e8f24cd949,,,DiscountReservation,289,,False,1.00,,,2018-04-02 10:41:05.458,,,,,,,2018-04-02 10:41:05.469,,,,,,,2018-06-15 23:13:42.743,,-270.00
