Account UUID,Sf Net Desk Change,Looker Net Desk Change,Sf Looker Difference,Sf Looker Absolute Difference
93097c0c-fd77-4028-85ec-051c63bbe204,-1.0,0.0,-1.0,1.0
27ca670c-1875-447c-b24a-45b97181148b,-21.0,0.0,-21.0,21.0
9f7c9fc0-0c2c-0135-0f32-0242ac11350a,-2.0,0.0,-2.0,2.0
6ddefc40-ab8e-0135-90f1-0242ac115108,1.0,4.0,-3.0,3.0
2d2bd68d-b6c3-4733-896a-ad23ddf1cbe1,0.0,0.0,0.0,0.0
cd0f3cfb-6ebd-4567-8128-634e66978bf6,1.0,1.0,0.0,0.0
dd7871e9-30e9-47d2-9293-1947a5342058,1.0,1.0,0.0,0.0
8cc41c28-704c-457d-8d35-b0deb107785c,1.0,1.0,0.0,0.0
23bc7990-8ce7-0135-8f98-0242ac116713,1.0,1.0,0.0,0.0
239bd2d8-1dd1-4e29-8d80-715482a42675,1.0,1.0,0.0,0.0
4a8cac50-4086-0136-76c4-0242ac11210f,1.0,1.0,0.0,0.0
6b345920-ed9c-0135-ab04-0242ac111c07,6.0,6.0,0.0,0.0
230b9e30-4d89-0136-9256-0242ac11560c,1.0,1.0,0.0,0.0
51b06fc0-4a01-0136-d1d5-0242ac111c08,3.0,3.0,0.0,0.0
30f83cde-146c-4af1-b8cb-1f1f6fb130e0,1.0,1.0,0.0,0.0
bb27fd01-1a14-4023-a978-0680197da2b6,3.0,3.0,0.0,0.0
76e3bcb1-78c5-47ad-8e37-5c0725116422,1.0,1.0,0.0,0.0
7934a060-458a-0135-4cac-0242ac11130b,4.0,4.0,0.0,0.0
40a64cd0-e23a-0134-ae94-0242ac112c0a,1.0,1.0,0.0,0.0
4b4d4643-2d2a-490c-85d7-448631f2563d,34.0,0.0,34.0,34.0
78514a64-3ecc-4e36-b410-9bf64c6558ba,0.0,0.0,0.0,0.0
3e69b730-50bd-0136-7b6c-0242ac11210b,7.0,7.0,0.0,0.0
cc28f6c0-0dbc-0136-29ce-0242ac112c0e,2.0,2.0,0.0,0.0
145f567c-b895-4001-867d-d2504fbdb6ec,0.0,0.0,0.0,0.0
1077d4a7-e3fc-43c6-823d-84dbf994e6c1,6.0,6.0,0.0,0.0
46db5b18-35df-4774-b989-2b9d1182f851,2.0,2.0,0.0,0.0
069e354f-e5d2-47cb-948a-eed75ed7320b,1.0,1.0,0.0,0.0
a65c0f20-c993-0135-ef9d-0242ac114a09,1.0,1.0,0.0,0.0
5357d070-fc53-0134-d6ff-0242ac113507,0.0,0.0,0.0,0.0
75526f51-60c3-4287-896d-3852d277f6a8,2.0,2.0,0.0,0.0
0c559d20-4ff4-0136-dbbd-0242ac111c08,2.0,2.0,0.0,0.0
e6c20b2f-edb0-42d2-a43a-2508d1586f2f,1.0,1.0,0.0,0.0
06efd81b-fdcb-447f-b9a4-dcbb07607858,0.0,0.0,0.0,0.0
26d0fa90-d627-4a36-924a-776b39bb22ef,0.0,0.0,0.0,0.0
fc9f79d8-c0bc-4b37-bcb9-5f23042ac8de,1.0,0.0,1.0,1.0
88041df0-95fc-4a58-8b52-e9c2e9558d03,2.0,2.0,0.0,0.0
427f78d0-09dd-499c-b63c-bffeecec417b,1.0,0.0,1.0,1.0
5e5b0ebf-5b12-4cef-8361-578b5a50c634,1.0,1.0,0.0,0.0
e3e712f8-8f78-48b5-bf54-2e6f4726acca,1.0,1.0,0.0,0.0
e2c60090-bcaf-0130-dc2e-22000a1cbdea,1.0,1.0,0.0,0.0
7201c5ad-1d8c-4138-b681-305f7c208017,2.0,2.0,0.0,0.0
02c5c61c-1428-46cb-be44-ed829ffc840c,0.0,0.0,0.0,0.0
cdc81fbf-a508-432f-a56e-3e378973ec0b,1.0,1.0,0.0,0.0
c16c17e6-d720-43d3-9fc5-94f10c08edcc,1.0,1.0,0.0,0.0
01a40cb8-a144-48d4-8b4b-9d18dea19e89,0.0,0.0,0.0,0.0
f97ce278-48f3-4309-8c3f-100902aed37f,1.0,1.0,0.0,0.0
59ada8b0-37a9-0135-79ec-0242ac11130c,2.0,2.0,0.0,0.0
7e55819b-4577-49de-8413-5dbb35d5405e,7.0,7.0,0.0,0.0
ff4ca5bd-3be0-4a92-868f-e4639546e62f,2.0,1.0,1.0,1.0
a117252f-4eeb-4265-b0d4-9e1b5398c84b,14.0,14.0,0.0,0.0
80fc25a8-5f6a-46d8-810f-539812aa3ba0,1.0,1.0,0.0,0.0
89c3af8d-dee7-4d33-b4a8-b2188e5810d8,126.0,0.0,126.0,126.0
2e1e62f0-d797-0135-e592-0242ac116708,0.0,0.0,0.0,0.0
10370ceb-4e48-4293-b00d-7c9c93eea8be,1.0,1.0,0.0,0.0
b4667387-7ec0-4b4c-bee5-f1ee08dc5711,12.0,12.0,0.0,0.0
b2b5fd5a-8fb8-41d4-bd51-b35a0dba4ebb,1.0,0.0,1.0,1.0
77f2fe3e-b7de-44a3-9cfb-6b5a1da53f95,1.0,1.0,0.0,0.0
44639b52-6377-45d4-b30d-686b220f312b,1.0,1.0,0.0,0.0
1db49d00-4ffb-0136-ac54-0242ac11560c,1.0,1.0,0.0,0.0
7e76664e-c933-446c-9300-f8912f7560cb,23.0,0.0,23.0,23.0
35878510-5089-0136-ade6-0242ac11560c,1.0,1.0,0.0,0.0
0b2ba650-ba4e-4a79-b943-ab0f83c59711,0.0,0.0,0.0,0.0
fecdf44e-e2e8-4d56-9222-cb0e38f2003c,1.0,1.0,0.0,0.0
321e376e-c5d4-4fc1-b033-7cb2bb8f24ea,5.0,5.0,0.0,0.0
c65a0f50-49d8-0136-d130-0242ac111c08,1.0,1.0,0.0,0.0
c09bea30-9f4b-0135-d4c0-0242ac111506,1.0,1.0,0.0,0.0
11bbeda4-33c7-4102-af8d-69b9d9d7f5ed,1.0,1.0,0.0,0.0
26551f2f-a71d-49ad-af41-d27b5bb218bb,2.0,2.0,0.0,0.0
f2a53d10-0f14-0136-3eb2-0242ac115606,0.0,0.0,0.0,0.0
afce44f0-5089-0136-ddbc-0242ac111c08,2.0,2.0,0.0,0.0
4d1a4554-1736-4565-80b0-e53f8422160b,1.0,1.0,0.0,0.0
1aebb0eb-5e70-4398-916f-bd8793b45e20,4.0,4.0,0.0,0.0
63ceb237-98d4-47d4-9de0-126611e411ab,0.0,0.0,0.0,0.0
1b883264-0e92-4d1d-8586-7f4aee58e509,6.0,6.0,0.0,0.0
37546391-d22c-4c76-bcfe-e177fd0b1eb3,4.0,4.0,0.0,0.0
c80622d0-9531-0135-fa45-0242ac116706,2.0,2.0,0.0,0.0
41c25d1f-2110-465e-b6f0-c5bdcf041b42,4.0,0.0,4.0,4.0
ceb1bc54-f337-4748-8d7c-6cc4e2ccd1c2,23.0,23.0,0.0,0.0
05e4bb22-35f5-4863-a9e1-6c158471b51d,0.0,0.0,0.0,0.0
bf7015a9-31c0-4f3b-972c-33aa86d5dfc6,1.0,1.0,0.0,0.0
9a06cde1-3295-4cdd-bcbb-2c7735613148,6.0,6.0,0.0,0.0
1dde957a-845b-497b-9ef4-e9837a9cd05b,1.0,1.0,0.0,0.0
ef1b1260-3ca7-0136-dc58-0242ac115607,0.0,0.0,0.0,0.0
44b4c2d0-4fbe-0136-920d-0242ac111506,2.0,2.0,0.0,0.0
210d6453-7ab4-4bcc-881a-0a6ddde87b1e,10.0,10.0,0.0,0.0
8e5075b0-6fbd-0135-9d20-0242ac11560d,0.0,0.0,0.0,0.0
5ec97833-410d-4267-8da8-f446f0d4e83e,15.0,15.0,0.0,0.0
43c25c3c-e00d-432e-80b4-fa072bd21089,5.0,5.0,0.0,0.0
845423e0-4440-0136-7ddf-0242ac114a0f,3.0,3.0,0.0,0.0
7a7bb4e0-4c01-0136-d8f8-0242ac112106,3.0,3.0,0.0,0.0
e22404aa-8083-4fd3-b8d2-46e34f732ed9,1.0,1.0,0.0,0.0
50b0efe4-60ea-49b0-a4eb-bea539e72d62,1.0,1.0,0.0,0.0
1e72e2bc-00a1-49aa-bbe3-360edda87684,1.0,1.0,0.0,0.0
12a280d2-15be-427e-80d1-07361810feb8,0.0,0.0,0.0,0.0
53fe941c-c406-4bf3-8256-ead72f1a03ee,2.0,2.0,0.0,0.0
916477ca-a9eb-438a-bbe8-d7de5c60d163,1.0,1.0,0.0,0.0
aae2797a-1b6d-4411-b64a-6fb25468d163,1.0,1.0,0.0,0.0
2447101f-fa9f-43a8-9665-762b188cbd44,1.0,1.0,0.0,0.0
4e8ecbb6-c469-42e0-868b-1a281487f471,1.0,1.0,0.0,0.0
b7785741-3988-46f1-b4bd-cc69f8868c8c,0.0,0.0,0.0,0.0
9c20c790-ec46-0135-1f35-0242ac111511,3.0,3.0,0.0,0.0
d6fd5b5b-6c6c-4950-8795-50914a6511fe,4.0,4.0,0.0,0.0
efe5bf32-1c77-4ba0-9909-3151af74466c,8.0,8.0,0.0,0.0
efce6b7b-bc56-40c8-b1f3-58c78401b365,1.0,0.0,1.0,1.0
7799fd5b-1163-4147-a111-4e7f75e63c00,1.0,1.0,0.0,0.0
35592fdc-7e62-47cd-8016-07c7d8f296d2,1.0,1.0,0.0,0.0
534eebc8-e885-4bfd-b81f-5fbf7634d64a,2.0,2.0,0.0,0.0
54250210-23f7-0136-3df7-0242ac115709,0.0,0.0,0.0,0.0
dea090d7-539d-4618-8f51-f2588a73cae9,1.0,1.0,0.0,0.0
d85355a0-c3c6-0134-2f6d-0242ac113509,2.0,2.0,0.0,0.0
215a5fd7-ea6f-4d1f-b16e-e257f5c6c733,0.0,0.0,0.0,0.0
64f15c10-35fa-0136-7d64-0242ac112c08,0.0,0.0,0.0,0.0
e4c5aa7b-e5e9-4b2e-bc7c-af57d73f4768,3.0,3.0,0.0,0.0
6f36a605-1759-4a22-be37-eb968621d06f,1.0,1.0,0.0,0.0
d0055246-ca6d-4f71-a4e0-fb2841cd384d,2.0,2.0,0.0,0.0
8ff60de0-d940-0135-3777-0242ac114a09,0.0,0.0,0.0,0.0
33f0ae3f-2286-48c5-8226-998101c56bfb,1.0,1.0,0.0,0.0
966fd1c8-e687-4ead-b208-e57e35e4ad7a,1.0,1.0,0.0,0.0
76c0fc85-2b3c-4c48-ae54-fbeb73767ccc,3.0,3.0,0.0,0.0
2ebad8a0-36b4-0136-14d1-0242ac114a09,1.0,1.0,0.0,0.0
596c3886-8aa4-4a78-ae6d-674dd1191a28,1.0,1.0,0.0,0.0
4492fc25-01d4-4ca1-856f-258a1f06b2c8,1.0,1.0,0.0,0.0
370bf820-9f50-0134-8ee5-72246ac67430,1.0,1.0,0.0,0.0
4777e920-605b-0135-3f1b-0242ac11130b,4.0,4.0,0.0,0.0
2b9dbdd0-75fc-4f1b-88fd-d8a0698e6133,2.0,2.0,0.0,0.0
41a2dec0-61f1-0131-52a8-5e57f20debfe,0.0,0.0,0.0,0.0
40f5a460-8251-0130-f786-123138068411,6.0,6.0,0.0,0.0
e132fd44-7165-47eb-b002-7f4fb6c9e373,0.0,0.0,0.0,0.0
af60e230-34d2-0135-f492-0242ac11130c,1.0,1.0,0.0,0.0
005b78b4-aa08-4583-ae59-832106a0816f,2.0,1.0,1.0,1.0
a263fe5b-cff6-4312-9e2c-084c2ef319ff,1.0,1.0,0.0,0.0
b60e85c7-7e87-400d-bdec-94ce9a5bec11,18.0,18.0,0.0,0.0
fa943f40-3fef-0135-0039-0242ac112609,3.0,3.0,0.0,0.0
3dc73fa0-36c5-0136-febd-0242ac112106,1.0,1.0,0.0,0.0
736bf675-325e-4504-b8e8-f5c32d4c27b3,6.0,6.0,0.0,0.0
c5247459-db23-4f83-9c1f-2730751a9153,1.0,1.0,0.0,0.0
896db216-65b2-4671-be12-34c61f131940,1.0,1.0,0.0,0.0
9cfe1cee-4421-4774-b69f-5d312babc5af,18.0,2.0,16.0,16.0
f3b58700-500e-0136-dc37-0242ac111c08,1.0,1.0,0.0,0.0
b625918d-12f6-478a-8b95-d3be74bee525,1.0,1.0,0.0,0.0
e5cb04d8-d8cb-493a-b3f3-f6c9284873f2,1.0,1.0,0.0,0.0
3c44e20d-d976-4d73-b7c4-dc87ef8246ac,20.0,20.0,0.0,0.0
628e7c68-48bf-4c12-9fdc-97b7267f3474,1.0,1.0,0.0,0.0
40bc02f6-3bc8-494f-b58e-bc6fe875d093,1.0,1.0,0.0,0.0
bfdfd870-edcf-470e-b23b-34e4758613bc,1.0,1.0,0.0,0.0
73c32d60-8048-0135-3791-0242ac116710,4.0,4.0,0.0,0.0
6bc73d0b-41a0-4679-93aa-823289112d07,3.0,3.0,0.0,0.0
4fd2be50-f9f1-0133-7b2e-62a0b8b7759b,1.0,1.0,0.0,0.0
b9610e92-6d53-4251-b012-d24975dc1be2,1.0,1.0,0.0,0.0
16e0fa60-464d-0136-e859-0242ac115109,0.0,0.0,0.0,0.0
75e00b90-ea75-0134-ef4c-0242ac113507,4.0,4.0,0.0,0.0
21da5e00-e1b6-0135-5ac0-0242ac111c09,1.0,1.0,0.0,0.0
dd855809-1ff0-4735-bce1-dd62a16e4136,1.0,1.0,0.0,0.0
04880086-7c50-42aa-9fea-ce5fc55d3c80,1.0,1.0,0.0,0.0
