Account UUID,Sf Net Desk Change,Looker Net Desk Change,Sf Looker Difference,Sf Looker Absolute Difference,contract_event_type,step_found,membership_agreement_uuid
41c25d1f-2110-465e-b6f0-c5bdcf041b42,4.0,0.0,4.0,4.0,Contract Signed,NoOpportunityFound,c39aa8e6-be31-41b6-b147-4786c5dd2747
41c25d1f-2110-465e-b6f0-c5bdcf041b42,4.0,0.0,4.0,4.0,Contract Signed,NoOpportunityFound,c39aa8e6-be31-41b6-b147-4786c5dd2747
9f7c9fc0-0c2c-0135-0f32-0242ac11350a,-2.0,0.0,-2.0,2.0,Contract Sent,NewOpportunity,44f3eb9b-c981-413f-a43b-381b2d6b474a
9f7c9fc0-0c2c-0135-0f32-0242ac11350a,-2.0,0.0,-2.0,2.0,Contract Sent,NewOpportunity,9a71fef7-3cf8-4fcc-a438-d6b6ef87ec56
6b2394d4-739c-40c7-bea6-b1729ec45ed3,0.0,8.0,-8.0,8.0,Contract Signed,OpportunityExists,5c95198a-aa79-48d1-91b4-09ac325c2254
6b2394d4-739c-40c7-bea6-b1729ec45ed3,0.0,8.0,-8.0,8.0,Contract Signed,OpportunityExists,5c95198a-aa79-48d1-91b4-09ac325c2254
005b78b4-aa08-4583-ae59-832106a0816f,2.0,1.0,1.0,1.0,Contract Signed,OpportunityAndMembershipAgreementMissing,
6f50d3df-9180-47a4-82f1-9e839aa8f64e,0.0,1.0,-1.0,1.0,Contract Signed,OpportunityAndMembershipAgreementMissing,
c13017d0-4f8d-0136-0e3f-0242ac11560c,0.0,1.0,-1.0,1.0,Contract Signed,OpportunityAndMembershipAgreementMissing,
c1aaf11d-a586-4081-b14b-e512b8462d26,0.0,1.0,-1.0,1.0,Contract Signed,OpportunityAndMembershipAgreementMissing,
b2b5fd5a-8fb8-41d4-bd51-b35a0dba4ebb,1.0,0.0,1.0,1.0,Contract Signed,OpportunityAndMembershipAgreementMissing,
ef7fdad3-4c45-45b4-8627-52b8b0e5a31a,0.0,1.0,-1.0,1.0,Contract Signed,OpportunityAndMembershipAgreementMissing,
bd9bda10-5040-0136-942d-0242ac111506,0.0,23.0,-23.0,23.0,Contract Signed,MembershipAgreementExists,7bba01c7-2af7-4172-bb4c-1d484ec6973b
bd9bda10-5040-0136-942d-0242ac111506,0.0,23.0,-23.0,23.0,Contract Sent,NewOpportunity,e2123adc-795d-4fa9-b2d2-862a6739c8b8
bd9bda10-5040-0136-942d-0242ac111506,0.0,23.0,-23.0,23.0,Contract Discarded,MembershipAgreementExists,e2123adc-795d-4fa9-b2d2-862a6739c8b8
