Account UUID,Sf Net Desk Change,Looker Net Desk Change,Sf Looker Difference,Sf Looker Absolute Difference,contract_event_type,step_found,membership_agreement_uuid
674da870-b3b6-49eb-a6bf-f85473d97ef0,0.0,-1.0,1.0,1.0,Contract Canceled,FoundByReservationIDInPast,
6740fe7f-0352-48b5-8278-01594d00361c,1.0,2.0,-1.0,1.0,Contract Sent,NoReusableOpportunityFound,99f014c2-1518-46b5-b285-bbee4413d6b4
6740fe7f-0352-48b5-8278-01594d00361c,1.0,2.0,-1.0,1.0,Contract Signed,OpportunityFoundById,cdd2d444-4c98-484f-8671-add028f0e4cb
6740fe7f-0352-48b5-8278-01594d00361c,1.0,2.0,-1.0,1.0,Contract Canceled,OpportunityFoundById,ae972ba4-7cb7-41de-943c-86e090d5b96a
6740fe7f-0352-48b5-8278-01594d00361c,1.0,2.0,-1.0,1.0,Contract Signed,OpportunityFoundById,99f014c2-1518-46b5-b285-bbee4413d6b4
6740fe7f-0352-48b5-8278-01594d00361c,1.0,2.0,-1.0,1.0,Contract Sent,MostRecentOpenOpportunity,cdd2d444-4c98-484f-8671-add028f0e4cb
ce7dddf0-500b-47e5-b0f3-6db92c4127dc,4.0,0.0,4.0,4.0,Contract Signed,OpportunityFoundById,cd2a0cc6-a465-4944-8d53-dcbbfe7b44cb
ce7dddf0-500b-47e5-b0f3-6db92c4127dc,4.0,0.0,4.0,4.0,Contract Voided,OpportunityFoundById,3709044d-dd96-477f-a091-9b2d4b95337e
ce7dddf0-500b-47e5-b0f3-6db92c4127dc,4.0,0.0,4.0,4.0,Contract Sent,OpportunityFoundById,3709044d-dd96-477f-a091-9b2d4b95337e
ce7dddf0-500b-47e5-b0f3-6db92c4127dc,4.0,0.0,4.0,4.0,Contract Sent,OpportunityFoundById,cd2a0cc6-a465-4944-8d53-dcbbfe7b44cb
b24e49e9-6126-4e38-83ef-c862718245d4,-1.0,0.0,-1.0,1.0,Contract Signed,OpportunityFoundById,efff71d3-c82c-4325-a389-2f458dd0797d
e8b46cde-5743-44f7-bd14-2fefc7794927,1.0,0.0,1.0,1.0,Contract Signed,OpportunityFoundById,66ad4590-5bf2-464a-b65f-8ec18857ab69
e8b46cde-5743-44f7-bd14-2fefc7794927,1.0,0.0,1.0,1.0,Contract Sent,OpportunityFoundById,66ad4590-5bf2-464a-b65f-8ec18857ab69
9841bdf1-70d5-4050-b089-eee3d28fdae3,0.0,4.0,-4.0,4.0,Contract Sent,NoReusableOpportunityFound,4169d303-4ee8-4e75-bd08-753f98a57e6b
9841bdf1-70d5-4050-b089-eee3d28fdae3,0.0,4.0,-4.0,4.0,Contract Canceled,OpportunityFoundById,f88eb4ee-2b6c-45de-913e-8b59ea55fc39
9841bdf1-70d5-4050-b089-eee3d28fdae3,0.0,4.0,-4.0,4.0,Contract Signed,OpportunityFoundById,4169d303-4ee8-4e75-bd08-753f98a57e6b
6a6bf884-a633-4a8d-a195-30086fcf534c,1.0,0.0,1.0,1.0,Contract Signed,OpportunityAndMembershipAgreementMissing,
