Account UUID,Sf Net Desk Change,Looker Net Desk Change,Sf Looker Difference,Sf Looker Absolute Difference,contract_event_type,step_found,ma_uuid,ma_created,sf_opportunity_id,reservation_uuid,reservation_created,reservation_started_on,reservation_ended_on,reservable
2cc1fda0-73d4-4367-9fef-c9b7be427065,1.0,0.0,1.0,1.0,Contract Sent,OpportunityFoundById,82cfc741-2859-4a1a-8424-d22554d7cadc,2018-07-03 10:45:39.356,MDA2MEcwMDAwMHVnc3NVUUFR,3c5c0452-d9b8-436b-a3be-e541b24e5abc,2018-07-06 07:04:09.208,2018-08-01,,HD107
2cc1fda0-73d4-4367-9fef-c9b7be427065,1.0,0.0,1.0,1.0,Contract Sent,OpportunityFoundById,82cfc741-2859-4a1a-8424-d22554d7cadc,2018-07-03 10:45:39.356,MDA2MEcwMDAwMHVnc3NVUUFR,3c5c0452-d9b8-436b-a3be-e541b24e5abc,2018-07-06 07:04:09.208,2018-08-01,,HD107
e30fcdcf-807f-4d43-b948-492345ae0031,0.0,-1.0,1.0,1.0,Contract Canceled,FoundByReservationIDInPast,,,,,,,,
135779e0-8f40-0134-945a-7267f652a9d0,22.0,-8.0,30.0,30.0,Contract Signed,OpportunityFoundById,a5fe3565-df06-4335-aa04-2010cce14f0e,2018-07-05 21:09:31.908,MDA2MEcwMDAwMHR4Y0ZWUUFZ,24a851d4-bc51-4128-8d42-ddb4f1d01bee,2018-07-05 21:09:33.600,2018-07-05,,168128
135779e0-8f40-0134-945a-7267f652a9d0,22.0,-8.0,30.0,30.0,Contract Signed,OpportunityFoundById,a5fe3565-df06-4335-aa04-2010cce14f0e,2018-07-05 21:09:31.908,MDA2MEcwMDAwMHR4Y0ZWUUFZ,5493f363-34ed-4c01-89f7-68049818e3f6,2018-07-05 21:09:33.000,2018-07-05,,168131
135779e0-8f40-0134-945a-7267f652a9d0,22.0,-8.0,30.0,30.0,Contract Signed,OpportunityFoundById,a5fe3565-df06-4335-aa04-2010cce14f0e,2018-07-05 21:09:31.908,MDA2MEcwMDAwMHR4Y0ZWUUFZ,24a851d4-bc51-4128-8d42-ddb4f1d01bee,2018-07-05 21:09:33.600,2018-07-05,,168128
135779e0-8f40-0134-945a-7267f652a9d0,22.0,-8.0,30.0,30.0,Contract Signed,OpportunityFoundById,a5fe3565-df06-4335-aa04-2010cce14f0e,2018-07-05 21:09:31.908,MDA2MEcwMDAwMHR4Y0ZWUUFZ,5493f363-34ed-4c01-89f7-68049818e3f6,2018-07-05 21:09:33.000,2018-07-05,,168131
041322f2-8f0f-4aac-8a7b-ee34a61ddad0,0.0,-1.0,1.0,1.0,Contract Canceled,FoundByReservationIDInPast,,,,,,,,
be75c0b0-1981-0135-60d4-0242ac11090f,0.0,-1.0,1.0,1.0,Contract Canceled,NoReusableOpportunityFound,,,,,,,,
4becf4a0-26ea-0135-9a7b-0242ac112612,0.0,-1.0,1.0,1.0,Contract Canceled,NoReusableOpportunityFound,,,,,,,,
