Account UUID,Sf Net Desk Change,Looker Net Desk Change,Sf Looker Difference,Sf Looker Absolute Difference
7b608845-3e75-4411-b37c-88c6e4e4d8eb,-1.0,0.0,-1.0,1.0
cd14a5a0-ac50-0135-bdb1-0242ac112c15,2.0,0.0,2.0,2.0
cd14a5a0-ac50-0135-bdb1-0242ac112c15,2.0,3.0,-1.0,1.0
5245cf90-45ce-0136-82ab-0242ac114a0f,-1.0,0.0,-1.0,1.0
4763340f-e53d-4538-b43c-531532568dab,-10.0,0.0,-10.0,10.0
8d025a30-2661-0135-9940-0242ac112612,-1.0,0.0,-1.0,1.0
b6fe2e50-fa7e-0135-3c09-0242ac115108,-1.0,0.0,-1.0,1.0
d256e790-e4a5-0134-a191-0242ac112c0c,-11.0,0.0,-11.0,11.0
82cf51a0-3c60-0134-7be2-26098e563da1,0.0,6.0,-6.0,6.0
054c2460-e0f9-0134-7e10-0242ac113509,-14.0,0.0,-14.0,14.0
78411680-67f0-0135-a3c4-0242ac11570e,-2.0,0.0,-2.0,2.0
9c96b710-43d4-0135-973f-0242ac113a0a,-1.0,0.0,-1.0,1.0
fc95d469-f012-4d68-bef7-bcd29104bd37,-3.0,4.0,-7.0,7.0
3d55c050-4556-40df-b5ae-2bf6e096d3fe,-6.0,0.0,-6.0,6.0
3dca8800-aa2d-0135-90b6-0242ac116705,-4.0,0.0,-4.0,4.0
0112f113-9f55-410e-a2f3-c3fba8131320,-1.0,0.0,-1.0,1.0
b53c8a80-239b-0136-ad59-0242ac11210f,-3.0,0.0,-3.0,3.0
b65b1d67-5f6b-451f-b188-383cbe4865e3,-10.0,0.0,-10.0,10.0
8dcee700-5b2d-0135-a93f-0242ac113d0e,-2.0,0.0,-2.0,2.0
0d6e4557-7df2-40f0-bb1d-0de407ded4f8,-1.0,0.0,-1.0,1.0
8efbdc1b-551f-471e-b324-2258060424ee,-2.0,0.0,-2.0,2.0
2adc83c0-44f8-0135-4a94-0242ac11130b,-1.0,0.0,-1.0,1.0
6aae2150-b82f-0135-d26e-0242ac11510d,-4.0,0.0,-4.0,4.0
53210a24-07be-4d8a-a6b4-cfc66d1571ec,0.0,3.0,-3.0,3.0
53210a24-07be-4d8a-a6b4-cfc66d1571ec,0.0,0.0,0.0,0.0
f3d88c90-0c13-0135-15a9-0242ac114706,-8.0,0.0,-8.0,8.0
3c926080-5a3e-0136-459d-0242ac114a0a,-1.0,0.0,-1.0,1.0
72132f07-0720-4d95-bde8-f1196e550667,-1.0,0.0,-1.0,1.0
1b77c350-f8ae-0135-9fe4-0242ac116709,-4.0,0.0,-4.0,4.0
